ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/1aGLzV9KTZtu0GRPBiOBXpyDOLDpRR7fl,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
32169,variable,pbo-cinturon,CINTURÓN POWERLIFTING PBO,1,0,visible,"¡Ya disponible nuestro CINTURÓN PBO para para que mejores más que nunca tu rendimiento en los básicos! Consigue meter más kg a la barra sintiéndote más fuerte, seguro y compacto que nunca.
\n
\n<strong>CARACTERISTICAS:</strong>
\n
\n- Materiales de alta calidad y remaches avanzados para evitar que se abra al realizar el movimiento.
\n- Cinturón semi rígido, se adapta con facilidad ofreciendo una fuerte sujección.
\n- 10mm de grosor y 10 cm de anchura para una sujeción óptima del lumbar y del core. Conseguir más fuerza en el core es una de las claves para conseguir transferir fuerza de forma eficiente y levantar más pesado.
\n-Logotipo PBO, Diseño oficial del equipo.
\n
\n&nbsp;","¡Ya disponible nuestro CINTURÓN PBO para para que mejores más que nunca tu rendimiento en los básicos! Consigue meter más kg a la barra sintiéndote más fuerte, seguro y compacto que nunca.
\n
\nEn PBO usamos materiales de la más alta calidad. Nuestro compromiso es conseguir un cinturón con buenos acabados y que sea duradero, no como otras marcas que se estropean fácilmente cuando afrontas levantamientos pesados.
\n
\n<strong>CARACTERISTICAS:</strong>
\n
\n- Materiales de alta calidad y remaches avanzados para evitar que se abra al realizar el movimiento.
\n- Cinturón semi rígido, se adapta con facilidad ofreciendo una fuerte sujección.
\n- 10mm de grosor y 10 cm de anchura para una sujeción óptima del lumbar y del core. Conseguir más fuerza en el core es una de las claves para conseguir transferir fuerza de forma eficiente y levantar más pesado.
\n-Logotipo PBO, Diseño oficial del equipo.
\n
\nHay existencias.
\n
\n&nbsp;",taxable,,0,0,,,,,,,"TIENDA > Accesorios, TIENDA",,Envío Growbeats,"https://powerbuildingoficial.com/wp-content/uploads/2020/10/cinturonpbo.jpg, https://powerbuildingoficial.com/wp-content/uploads/2020/10/cinturonpbo4.jpg, https://powerbuildingoficial.com/wp-content/uploads/2020/10/cinturonpbo3-1.jpg",,Talla,"L, M, S, XL",1,1,M
32418,variable,,CINTURÓN POWERLIFTING PBO - XL,1,0,visible,,,taxable,parent,1,4,,,,,,3499,,,,,,Talla,XL,,1,
32416,variable,,CINTURÓN POWERLIFTING PBO - M,1,0,visible,,,taxable,parent,0,0,,,,,,3499,,,,,,Talla,M,,1,
32417,variable,,CINTURÓN POWERLIFTING PBO - L,1,0,visible,,,taxable,parent,0,0,,,,,,3499,,,,,,Talla,L,,1,
32415,variable,,CINTURÓN POWERLIFTING PBO - S,1,0,visible,,,taxable,parent,1,4,,,,,,3499,,,,,,Talla,S,,1,
,variable,,,,,visible,,,taxable,parent,,,,,,,,,,,,,,Talla,,,,
H31206,variable,,BLUSA STICKER BOOM,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,"STICKERBOOM 1.jpg, STICKERBOOM 2.jpg, STICKERBOOM 3.jpg, STICKERBOOM 4.jpg",,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31206XS,variable,,BLUSA STICKER BOOM XS,1,1,visible,,,taxable,parent,1,4,,,,,,96000,,,,,,Talla,XS,,,
H31206S,variable,,BLUSA STICKER BOOM S,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31206M,variable,,BLUSA STICKER BOOM M,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31206L,variable,,BLUSA STICKER BOOM L,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31206XL,variable,,BLUSA STICKER BOOM XL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31206XXL,variable,,BLUSA STICKER BOOM XXL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
H31217,variable,,BLUSA OSOS ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,"OSOS 1 jpg, OSOS 2 jpg, OSOS 3 jpg, OSOS 4 jpg",,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31217XS,variable,,BLUSA OSOS XS,1,1,visible,,,taxable,parent,1,4,,,,,,96000,,,,,,Talla,XS,,,
H31217S,variable,,BLUSA OSOS S,1,1,visible,,,taxable,parent,1,0,,,,,,96000,,,,,,Talla,S,,,
H31217M,variable,,BLUSA OSOS M,1,1,visible,,,taxable,parent,1,4,,,,,,96000,,,,,,Talla,M,,,
H31217L,variable,,BLUSA OSOS L,1,1,visible,,,taxable,parent,1,4,,,,,,96000,,,,,,Talla,L,,,
H31217XL,variable,,BLUSA OSOS XL,1,1,visible,,,taxable,parent,1,4,,,,,,96000,,,,,,Talla,XL,,,
H31217XXL,variable,,BLUSA OSOS XXL,1,1,visible,,,taxable,parent,1,1,,,,,,96000,,,,,,Talla,XXL,,,
